Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sat,2018-10-20,15:00 (19:30),Ipswich Town,0–2,QPR,18345,Portman Road Stadium,Geoff Eltringham,Match Report,
13,Sat,2018-10-20,15:00 (19:30),Reading,3–1,Millwall,14532,Madejski Stadium,David Webb,Match Report,
13,Sat,2018-10-20,15:00 (19:30),Nott'ham Forest,1–2,Norwich City,29427,The City Ground,Keith Stroud,Match Report,
13,Sat,2018-10-20,15:00 (19:30),Aston Villa,1–0,Swansea City,41326,Villa Park,Andy Madley,Match Report,
13,Sat,2018-10-20,15:00 (19:30),Wigan Athletic,1–0,West Brom,12739,The DW Stadium,Jeremy Simpson,Match Report,
13,Sat,2018-10-20,17:30 (22:00),Derby County,2–1,Sheffield Utd,27927,iPro Stadium,Oliver Langford,Match Report,
,,,,,,,,,,,
14,Tue,2018-10-23,19:45 (00:15),Birmingham City,2–1,Reading,22126,St Andrew's Trillion Trophy Stadium,Tony Harrington,Match Report,
14,Tue,2018-10-23,19:45 (00:15),Sheffield Utd,1–1,Stoke City,24463,Bramall Lane,Gavin Ward,Match Report,
14,Tue,2018-10-23,19:45 (00:15),Millwall,2–1,Wigan Athletic,11190,The Den,James Linington,Match Report,
14,Tue,2018-10-23,19:45 (00:15),Norwich City,2–1,Aston Villa,24977,Carrow Road,Simon Hooper,Match Report,
14,Tue,2018-10-23,19:45 (00:15),Middlesbrough,0–0,Rotherham Utd,21235,Riverside Stadium,Darren Bond,Match Report,
14,Tue,2018-10-23,19:45 (00:15),QPR,3–0,Sheffield Weds,12534,Loftus Road Stadium,John Brooks,Match Report,
14,Tue,2018-10-23,19:45 (00:15),Swansea City,3–1,Blackburn,18035,Liberty Stadium,Geoff Eltringham,Match Report,
14,Wed,2018-10-24,19:45 (00:15),Preston,4–3,Brentford,10882,Deepdale Stadium,Scott Duncan,Match Report,
14,Wed,2018-10-24,19:45 (00:15),Leeds United,2–0,Ipswich Town,29082,Elland Road,Craig Pawson,Match Report,
14,Wed,2018-10-24,19:45 (00:15),Bristol City,1–0,Hull City,19149,Ashton Gate Stadium,Peter Bankes,Match Report,
14,Wed,2018-10-24,20:00 (00:30),West Brom,1–4,Derby County,22848,The Hawthorns,Robert Jones,Match Report,
14,Wed,2018-10-24,20:00 (00:30),Bolton,0–3,Nott'ham Forest,13195,Macron Stadium,Andrew Davies,Match Report,
,,,,,,,,,,,
15,Fri,2018-10-26,19:45 (00:15),QPR,1–0,Aston Villa,16036,Loftus Road Stadium,Darren England,Match Report,
15,Sat,2018-10-27,12:30 (17:00),Middlesbrough,1–1,Derby County,22907,Riverside Stadium,Simon Hooper,Match Report,
15,Sat,2018-10-27,15:00 (19:30),Swansea City,2–0,Reading,18785,Liberty Stadium,Keith Stroud,Match Report,
15,Sat,2018-10-27,15:00 (19:30),Millwall,3–0,Ipswich Town,15386,The Den,Robert Jones,Match Report,
15,Sat,2018-10-27,15:00 (19:30),Bristol City,0–1,Stoke City,22456,Ashton Gate Stadium,Andy Madley,Match Report,
15,Sat,2018-10-27,15:00 (19:30),Sheffield Utd,4–2,Wigan Athletic,24429,Bramall Lane,Tony Harrington,Match Report,
